t,rms
1.398,0.0342508
1.401,0.0341268
1.404,0.0339943
1.407,0.0338535
1.41,0.0337046
1.413,0.0335479
1.416,0.0333834
1.419,0.0332116
1.422,0.0330326
1.425,0.0328466
1.428,0.032654
1.431,0.032455
1.434,0.0322498
1.437,0.0320388
1.44,0.0318223
1.443,0.0316004
1.446,0.0313736
1.449,0.031142
1.452,0.0309061
1.455,0.0306661
1.458,0.0304222
1.461,0.030175
1.464,0.0299246
1.467,0.0296713
1.47,0.0294155
1.473,0.0291575
1.476,0.0288977
1.479,0.0286363
1.482,0.0283736
1.485,0.02811
1.488,0.0278459
1.491,0.0275814
1.494,0.027317
1.497,0.027053
1.5,0.0267896
1.503,0.0265273
1.506,0.0262662
1.509,0.0260067
1.512,0.0257492
1.515,0.0254938
1.518,0.025241
1.521,0.024991
1.524,0.024744
1.527,0.0245004
1.53,0.0242604
1.533,0.0240244
1.536,0.0237925
1.539,0.023565
1.542,0.0233422
1.545,0.0231244
1.548,0.0229117
1.551,0.0227044
1.554,0.0225027
1.557,0.0223068
1.56,0.0221169
1.563,0.0219333
1.566,0.0217561
1.569,0.0215855
1.572,0.0214217
1.575,0.0212648
1.578,0.021115
1.581,0.0209724
1.584,0.0208372
1.587,0.0207095
1.59,0.0205894
1.593,0.020477
1.596,0.0203724
1.599,0.0202757
1.602,0.020187
1.605,0.0201063
1.608,0.0200337
1.611,0.0199693
1.614,0.019913
1.617,0.0198649
1.62,0.0198251
1.623,0.0197935
1.626,0.0197701
1.629,0.0197549
1.632,0.019748
1.635,0.0197491
1.638,0.0197584
1.641,0.0197758
1.644,0.0198011
1.647,0.0198344
1.65,0.0198756
1.653,0.0199245
1.656,0.019981
1.659,0.0200452
1.662,0.0201167
1.665,0.0201956
1.668,0.0202817
1.671,0.0203749
1.674,0.0204749
1.677,0.0205817
1.68,0.0206951
1.683,0.0208149
1.686,0.0209409
1.689,0.021073
1.692,0.021211
1.695,0.0213546
1.698,0.0215038
1.701,0.0216582
1.704,0.0218176
1.707,0.0219819
1.71,0.0221508
1.713,0.0223241
1.716,0.0225016
1.719,0.022683
1.722,0.0228681
1.725,0.0230567
1.728,0.0232484
1.731,0.0234431
1.734,0.0236406
1.737,0.0238405
1.74,0.0240426
1.743,0.0242467
1.746,0.0244524
1.749,0.0246597
1.752,0.0248681
1.755,0.0250774
1.758,0.0252874
1.761,0.0254979
1.764,0.0257085
1.767,0.0259191
1.77,0.0261293
1.773,0.0263389
1.776,0.0265477
1.779,0.0267554
1.782,0.0269618
1.785,0.0271666
1.788,0.0273696
1.791,0.0275705
1.794,0.0277692
1.797,0.0279654
1.8,0.0281589
1.803,0.0283495
1.806,0.0285369
1.809,0.0287209
1.812,0.0289014
1.815,0.0290781
1.818,0.0292508
1.821,0.0294194
1.824,0.0295837
1.827,0.0297434
1.83,0.0298985
1.833,0.0300488
1.836,0.0301941
1.839,0.0303342
1.842,0.0304691
1.845,0.0305985
1.848,0.0307224
1.851,0.0308406
1.854,0.0309531
1.857,0.0310596
1.86,0.0311602
1.863,0.0312547
1.866,0.031343
1.869,0.0314251
1.872,0.0315009
1.875,0.0315704
1.878,0.0316334
1.881,0.03169
1.884,0.0317401
1.887,0.0317837
1.89,0.0318207
1.893,0.0318512
1.896,0.0318751
1.899,0.0318925
1.902,0.0319033
1.905,0.0319076
1.908,0.0319055
1.911,0.0318968
1.914,0.0318818
1.917,0.0318604
1.92,0.0318327
